Thu Dec 26 12:28:01 2002: The Undead of The Old Catacombs raided the field minotaurs of Misty Passages 
Thu Dec 26 15:54:17 2002: The stone giants of The Dusty Grotto relic raided the Good in The Whitie Outpost 
Thu Dec 26 16:36:46 2002: The Undead of The Old Catacombs raided the cave dwarves of The Dusty Halls 
Thu Dec 26 18:26:39 2002: The Undead of The Old Catacombs raided the field minotaurs of Misty Passages 
Thu Dec 26 21:31:27 2002: The Undead of The Old Catacombs raided the mountain trolls of Ivey Range 
Mon Dec 30 15:12:53 2002: The black ogres of The Dark Woods relic raided the Evil in The Darkie Outpost 
Tue Dec 31 23:26:58 2002: The fire giants of Some Damp Catacombs raided the cave dwarves of The Woods Of Sorcery 
Wed Jan  1 01:22:22 2003: The wild elves of Usyif Woods raided the hobbits of The Clear Expanses Of Owtogk 
Wed Jan  1 01:22:49 2003: The stone giants of The Volcanic Labyrinthe raided the forest trolls of The Lost Iddac Labyrinthe 
Wed Jan  1 05:14:33 2003: The frost giants of The Jagged Halls Of Mountain Bugbear raided the mountain goblins of Gruodr Catacombs 
Wed Jan  1 06:01:17 2003: The gray hobgoblins of The Dense Grounds Of Seday raided the black ogres of The Dark Woods 
Wed Jan  1 07:39:43 2003: The gray slaan of The Forbidden Nucyez Warrens raided the mountain goblins of Gruodr Catacombs 
Wed Jan  1 07:43:12 2003: The stone giants of The Volcanic Labyrinthe raided the forest trolls of The Lost Iddac Labyrinthe 
Wed Jan  1 08:46:38 2003: The black slaan of The Unknown Glen raided the mountain gnolls of Wabbef Woods 
Wed Jan  1 09:59:03 2003: The fire giants of Some Damp Catacombs raided the cave dwarves of The Woods Of Sorcery 
Wed Jan  1 11:09:28 2003: The forest gnolls of The Volcanic Grottos settled in The Forbidden Nucyez Warrens 
Wed Jan  1 11:10:51 2003: The stone giants of The Volcanic Labyrinthe raided the forest trolls of The Lost Iddac Labyrinthe 
Wed Jan  1 13:27:11 2003: The wild elves of Usyif Woods raided the cave ogres of The Tunnels Of The Black Slaan 
