raid 61 36 292 1827
raid 37 27 273 1828
raid 6 29 273 1829
raid 25 29 273 1830
raid 40 29 273 1831
raid 44 29 273 1832
raid 48 29 273 1833
raid 64 29 273 1834
raid 65 29 273 1835
raid 72 29 273 1836
raid 73 29 273 1837
raid 79 29 273 1838
raid 81 29 273 1839
raid 91 29 273 1840
raid 5 12 267 1841
raid 54 92 244 1842
raid 13 36 239 1843
patrol 59 204450 189 1844
raid 67 78 189 1845
raid 94 91 169 1846
raid 36 80 166 1847
raid 2 28 154 1848
patrol 76 1227150 116 1849
raid 7 18 113 1850
raid 86 14 88 1851
patrol 40 212700 84 1852
patrol 2 216750 82 1853
raid 42 1 60 1854
patrol 92 1204650 36 1855
raid 51 23 32 1856
raid 61 11 32 1857
raid 31 12 18 1858
END_OF_RUMORS
